Sensor ID: 23915, Street: BOURKE STREET, Lat: -37.8126486, Lon: 144.968327, ZoneType: Residential
Sensor ID: 23914, Street: COLLINS STREET, Lat: -37.8137101, Lon: 144.9728538, ZoneType: Commercial
Sensor ID: 23913, Street: FLINDERS STREET, Lat: -37.8185482, Lon: 144.9633293, ZoneType: Commercial
Sensor ID: 23916, Street: BOURKE STREET, Lat: -37.8104864, Lon: 144.9722391, ZoneType: Residential
Sensor ID: 27446, Street: FRANKLIN STREET, Lat: -37.8082099, Lon: 144.9598926, ZoneType: Residential
Sensor ID: 27164, Street: WILLIAM STREET, Lat: -37.8190202, Lon: 144.959676, ZoneType: Center
Sensor ID: 25982, Street: RUSSELL STREET, Lat: -37.813282, Lon: 144.9683299, ZoneType: Residential
Sensor ID: 27596, Street: RUSSELL STREET, Lat: -37.8123193, Lon: 144.9677641, ZoneType: Residential
Sensor ID: 26585, Street: PELHAM STREET, Lat: -37.8028453, Lon: 144.9669083, ZoneType: Center
Sensor ID: 26632, Street: KING STREET, Lat: -37.813996, Lon: 144.9545139, ZoneType: Residential
Sensor ID: 25724, Street: LA TROBE STREET, Lat: -37.8126433, Lon: 144.9535046, ZoneType: Residential
Sensor ID: 26754, Street: LA TROBE STREET, Lat: -37.8085888, Lon: 144.9674631, ZoneType: Residential
Sensor ID: 23944, Street: LONSDALE STREET, Lat: -37.8143489, Lon: 144.9554092, ZoneType: Residential
Sensor ID: 23941, Street: WILLIAM STREET, Lat: -37.8141404, Lon: 144.9576082, ZoneType: Commercial
Sensor ID: 23945, Street: LITTLE LONSDALE STREET, Lat: -37.8104095, Lon: 144.9647085, ZoneType: Commercial
Sensor ID: 23940, Street: KING STREET, Lat: -37.8185369, Lon: 144.9568504, ZoneType: Residential
Sensor ID: 23918, Street: LITTLE LONSDALE STREET, Lat: -37.8121392, Lon: 144.9589916, ZoneType: Residential
Sensor ID: 23920, Street: LA TROBE STREET, Lat: -37.8122905, Lon: 144.9542499, ZoneType: Residential
Sensor ID: 23917, Street: LONSDALE STREET, Lat: -37.8116707, Lon: 144.960474, ZoneType: Residential
Sensor ID: 28287, Street: DODDS STREET, Lat: -37.8243074, Lon: 144.968403, ZoneType: Commercial
Sensor ID: 24602, Street: WILLIAM STREET, Lat: -37.8109274, Lon: 144.9559507, ZoneType: Residential
Sensor ID: 26228, Street: LONSDALE STREET, Lat: -37.8131945, Lon: 144.9587471, ZoneType: Commercial
Sensor ID: 27071, Street: ALBERT STREET, Lat: -37.8096852, Lon: 144.9776971, ZoneType: Commercial
Sensor ID: 26086, Street: ERROL STREET, Lat: -37.8040274, Lon: 144.9493598, ZoneType: Residential
Sensor ID: 25060, Street: LITTLE LONSDALE STREET, Lat: -37.8088069, Lon: 144.9703704, ZoneType: Residential
Sensor ID: 26281, Street: HOWARD STREET, Lat: -37.8044686, Lon: 144.9539008, ZoneType: Residential
Sensor ID: 27531, Street: SOUTHBANK BOULEVARD, Lat: -37.8219427, Lon: 144.9631516, ZoneType: Residential
Sensor ID: 27241, Street: FLINDERS STREET, Lat: -37.82061, Lon: 144.9570153, ZoneType: Residential
Sensor ID: 27271, Street: NAVIGATION DRIVE, Lat: -37.8197939, Lon: 144.9459156, ZoneType: Residential
Sensor ID: 28174, Street: EADES STREET, Lat: -37.8097852, Lon: 144.9810909, ZoneType: Commercial
Sensor ID: 27294, Street: ELIZABETH STREET, Lat: -37.8169317, Lon: 144.9645045, ZoneType: Commercial
Sensor ID: 25069, Street: EXHIBITION STREET, Lat: -37.8125777, Lon: 144.9708913, ZoneType: Commercial
Sensor ID: 26869, Street: LITTLE COLLINS STREET, Lat: -37.81766, Lon: 144.9549806, ZoneType: Residential
Sensor ID: 25771, Street: EXHIBITION STREET, Lat: -37.8097532, Lon: 144.9693618, ZoneType: Residential
Sensor ID: 23927, Street: HOWARD STREET, Lat: -37.8066085, Lon: 144.9535525, ZoneType: Commercial
Sensor ID: 23923, Street: ROSSLYN STREET, Lat: -37.8071275, Lon: 144.9535893, ZoneType: Commercial
Sensor ID: 26574, Street: SPENCER STREET, Lat: -37.8154168, Lon: 144.9526172, ZoneType: Residential
Sensor ID: 26462, Street: LITTLE COLLINS STREET, Lat: -37.8157691, Lon: 144.9618288, ZoneType: Residential
Sensor ID: 27644, Street: FLINDERS LANE, Lat: -37.8199462, Lon: 144.9552983, ZoneType: Residential
Sensor ID: 26562, Street: KING STREET, Lat: -37.816583, Lon: 144.9559555, ZoneType: Center
Sensor ID: 26012, Street: WILLIAM STREET, Lat: -37.8152335, Lon: 144.9585741, ZoneType: Residential
Sensor ID: 27245, Street: COLLINS STREET, Lat: -37.8164483, Lon: 144.9629403, ZoneType: Commercial
Sensor ID: 26121, Street: EXHIBITION STREET, Lat: -37.8147169, Lon: 144.9717127, ZoneType: Commercial
Sensor ID: 27243, Street: COLLINS STREET, Lat: -37.8212302, Lon: 144.9469484, ZoneType: Residential
Sensor ID: 26375, Street: QUEEN STREET, Lat: -37.8080625, Lon: 144.9580738, ZoneType: Commercial
Sensor ID: 26669, Street: LONSDALE STREET, Lat: -37.8104276, Lon: 144.9682245, ZoneType: Residential
Sensor ID: 26852, Street: KING STREET, Lat: -37.8149639, Lon: 144.9552143, ZoneType: Residential
Sensor ID: 26385, Street: KING STREET, Lat: -37.817664, Lon: 144.9562011, ZoneType: Center
Sensor ID: 25988, Street: EXHIBITION STREET, Lat: -37.8107438, Lon: 144.9700512, ZoneType: Residential
Sensor ID: 26908, Street: LA TROBE STREET, Lat: -37.8107375, Lon: 144.9601324, ZoneType: Residential
Sensor ID: 26169, Street: SPRING STREET, Lat: -37.8145705, Lon: 144.9746608, ZoneType: Commercial
Sensor ID: 26376, Street: QUEEN STREET, Lat: -37.8105292, Lon: 144.9585508, ZoneType: Residential
Sensor ID: 26710, Street: HARBOUR ESPLANADE, Lat: -37.8170709, Lon: 144.9457674, ZoneType: Commercial
Sensor ID: 28208, Street: QUEENSBERRY STREET, Lat: -37.8036261, Lon: 144.9548783, ZoneType: Residential
Sensor ID: 26381, Street: WILLIAM STREET, Lat: -37.8182581, Lon: 144.9593117, ZoneType: Residential
Sensor ID: 23935, Street: WELLINGTON PARADE, Lat: -37.8152059, Lon: 144.9755553, ZoneType: Commercial
Sensor ID: 23931, Street: QUEENSBERRY STREET, Lat: -37.8033586, Lon: 144.9516379, ZoneType: Residential
Sensor ID: 23933, Street: FARADAY STREET, Lat: -37.7984317, Lon: 144.9651487, ZoneType: Residential
Sensor ID: 23934, Street: CATHEDRAL PLACE, Lat: -37.811016, Lon: 144.9774785, ZoneType: General
Sensor ID: 23936, Street: KAVANAGH STREET, Lat: -37.8256379, Lon: 144.9625654, ZoneType: Residential
Sensor ID: 26734, Street: CLARENDON STREET, Lat: -37.8108225, Lon: 144.9836017, ZoneType: Residential
Sensor ID: 25242, Street: ALBERT STREET, Lat: -37.8108631, Lon: 144.9883928, ZoneType: Residential
Sensor ID: 26496, Street: LITTLE COLLINS STREET, Lat: -37.8128073, Lon: 144.9718934, ZoneType: Commercial
Sensor ID: 26332, Street: COLLINS STREET, Lat: -37.820459, Lon: 144.9490075, ZoneType: Commercial
Sensor ID: 23929, Street: QUEENSBERRY STREET, Lat: -37.8034288, Lon: 144.9531251, ZoneType: Residential
Sensor ID: 27658, Street: ACLAND STREET, Lat: -37.8334288, Lon: 144.9851525, ZoneType: Residential
Sensor ID: 26878, Street: BOURKE STREET, Lat: -37.8143424, Lon: 144.9625243, ZoneType: Residential
Sensor ID: 26860, Street: FLINDERS LANE, Lat: -37.8167643, Lon: 144.9660155, ZoneType: Commercial
Sensor ID: 26699, Street: ALBERT STREET, Lat: -37.8094012, Lon: 144.9738487, ZoneType: Center
Sensor ID: 25111, Street: VICTORIA STREET, Lat: -37.8060052, Lon: 144.9587311, ZoneType: Residential
Sensor ID: 28110, Street: CLARENDON STREET, Lat: -37.8156703, Lon: 144.9827786, ZoneType: Residential
Sensor ID: 26980, Street: LANSDOWNE STREET, Lat: -37.8107433, Lon: 144.9780532, ZoneType: General
Sensor ID: 25764, Street: EXHIBITION STREET, Lat: -37.8157781, Lon: 144.972161, ZoneType: Commercial
Sensor ID: 26233, Street: LITTLE LONSDALE STREET, Lat: -37.8138793, Lon: 144.9529076, ZoneType: Residential
Sensor ID: 26918, Street: THERRY STREET, Lat: -37.8073518, Lon: 144.9588893, ZoneType: Residential
Sensor ID: 25268, Street: ALBERT STREET, Lat: -37.811031, Lon: 144.989911, ZoneType: General
